"Products","Arima","Ets","Ericsson"
"1","kernel_networking",0,0,-1
"2","eclipse_platform",0,0,0
"3","eclipse_data_tools",0,0,0
"4","eclipse_birt",0,0,0
"5","eclipse_jdt",0,0,0
"6","eclipse_pde",0,0,0
"7","mozilla_calendar",0,1,-1
"8","mozilla_firefox",0,0,-1
"9","mozilla_core",1,1,1
"10","mozilla_thunderbird",0,1,0
"11","kernel_IO_Storage",0,0,0
"12","kernel_file_system",0,0,0
"13","open_office_writer",0,0,-1
"14","open_office_calc",-1,1,-1
"15","open_office_draw",0,0,0
"16","apache_ant",1,0,1
"17","apache_apache2",0,0,0
"18","libre_office_writer",1,1,1
"19","libre_office_calc",1,1,1
"20","libre_office_draw",0,0,0
